header.cases,/nfs/home/zhangruisi/Downloads/xs-env/XiangShan/SPEC06_EmuTasks_1208/mcf_17520000000_0.126350/simulator_err.txt
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.fused_instr,0
core_with_l2.core.backend.ctrlBlock.intDq.empty,36205653
core_with_l2.core.backend.ctrlBlock.intDq.exHalf,1719
core_with_l2.core.backend.ctrlBlock.intDq.fake_block,992841
core_with_l2.core.backend.ctrlBlock.intDq.full,1486864
core_with_l2.core.backend.ctrlBlock.intDq.in,25023487
core_with_l2.core.backend.ctrlBlock.intDq.out,24869698
core_with_l2.core.backend.ctrlBlock.intDq.out_try,26877699
core_with_l2.core.backend.ctrlBlock.intDq.util_0_1,36205652
core_with_l2.core.backend.ctrlBlock.intDq.util_1_2,1169608
core_with_l2.core.backend.ctrlBlock.intDq.util_2_3,1295149
core_with_l2.core.backend.ctrlBlock.intDq.util_3_4,1622116
core_with_l2.core.backend.ctrlBlock.intDq.util_4_5,959803
core_with_l2.core.backend.ctrlBlock.intDq.util_5_6,1274611
core_with_l2.core.backend.ctrlBlock.intDq.util_6_7,1223302
core_with_l2.core.backend.ctrlBlock.intDq.util_7_8,1364231
core_with_l2.core.backend.ctrlBlock.intDq.util_8_9,491402
core_with_l2.core.backend.ctrlBlock.intDq.util_9_10,316
core_with_l2.core.backend.ctrlBlock.intDq.util_10_11,482
core_with_l2.core.backend.ctrlBlock.intDq.util_11_12,712
core_with_l2.core.backend.ctrlBlock.intDq.util_12_13,85
core_with_l2.core.backend.ctrlBlock.intDq.util_13_14,114
core_with_l2.core.backend.ctrlBlock.intDq.util_14_15,10
core_with_l2.core.backend.ctrlBlock.intDq.util_15_16,0
core_with_l2.core.backend.ctrlBlock.intDq.util_mean,0
core_with_l2.core.backend.ctrlBlock.intDq.util_overflow,0
core_with_l2.core.backend.ctrlBlock.intDq.util_sampled,45607593
core_with_l2.core.backend.ctrlBlock.intDq.util_sum,39677304
core_with_l2.core.backend.ctrlBlock.intDq.util_underflow,0
core_with_l2.core.backend.ctrlBlock.intDq.utilization,39677304
core_with_l2.core.backend.ctrlBlock.lsDq.empty,4846514
core_with_l2.core.backend.ctrlBlock.lsDq.exHalf,25795167
core_with_l2.core.backend.ctrlBlock.lsDq.fake_block,1820057
core_with_l2.core.backend.ctrlBlock.lsDq.full,23844835
core_with_l2.core.backend.ctrlBlock.lsDq.in,28064982
core_with_l2.core.backend.ctrlBlock.lsDq.out,26004790
core_with_l2.core.backend.ctrlBlock.lsDq.out_try,157911698
core_with_l2.core.backend.ctrlBlock.lsDq.util_0_1,4846514
core_with_l2.core.backend.ctrlBlock.lsDq.util_1_2,958840
core_with_l2.core.backend.ctrlBlock.lsDq.util_2_3,553175
core_with_l2.core.backend.ctrlBlock.lsDq.util_3_4,1094379
core_with_l2.core.backend.ctrlBlock.lsDq.util_4_5,2450773
core_with_l2.core.backend.ctrlBlock.lsDq.util_5_6,2102276
core_with_l2.core.backend.ctrlBlock.lsDq.util_6_7,4273484
core_with_l2.core.backend.ctrlBlock.lsDq.util_7_8,1519232
core_with_l2.core.backend.ctrlBlock.lsDq.util_8_9,2013753
core_with_l2.core.backend.ctrlBlock.lsDq.util_9_10,1491676
core_with_l2.core.backend.ctrlBlock.lsDq.util_10_11,2374478
core_with_l2.core.backend.ctrlBlock.lsDq.util_11_12,2502836
core_with_l2.core.backend.ctrlBlock.lsDq.util_12_13,8165126
core_with_l2.core.backend.ctrlBlock.lsDq.util_13_14,3537856
core_with_l2.core.backend.ctrlBlock.lsDq.util_14_15,3781779
core_with_l2.core.backend.ctrlBlock.lsDq.util_15_16,3941416
core_with_l2.core.backend.ctrlBlock.lsDq.util_mean,8
core_with_l2.core.backend.ctrlBlock.lsDq.util_overflow,2014579
core_with_l2.core.backend.ctrlBlock.lsDq.util_sampled,45607593
core_with_l2.core.backend.ctrlBlock.lsDq.util_sum,400803776
