header.cases,/nfs/home/zhangruisi/Downloads/xs-env/XiangShan/SPEC06_EmuTasks_1208/mcf_191500000000_0.105600/simulator_err.txt
core_with_l2.core.backend.ctrlBlock.dispatch2_2.in_valid,0
core_with_l2.core.backend.ctrlBlock.dispatch2_2.out_fire,0
core_with_l2.core.backend.ctrlBlock.dispatch2_2.out_valid,0
core_with_l2.core.backend.ctrlBlock.dispatch.AtomicStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.BTBMissBubble,338427
core_with_l2.core.backend.ctrlBlock.dispatch.ControlRecoveryStall,430245
core_with_l2.core.backend.ctrlBlock.dispatch.DivStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.empty,5464934
core_with_l2.core.backend.ctrlBlock.dispatch.FetchFragBubble,1557683
core_with_l2.core.backend.ctrlBlock.dispatch.FlushedInsts,0
core_with_l2.core.backend.ctrlBlock.dispatch.FpDqStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.FpFlStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.FPNotReadyStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.FtqFullStall,1752294
core_with_l2.core.backend.ctrlBlock.dispatch.FtqUpdateBubble,1941
core_with_l2.core.backend.ctrlBlock.dispatch.ICacheMissBubble,195
core_with_l2.core.backend.ctrlBlock.dispatch.in,48772388
core_with_l2.core.backend.ctrlBlock.dispatch.IntDqStall,73068150
core_with_l2.core.backend.ctrlBlock.dispatch.IntFlStall,5808317
core_with_l2.core.backend.ctrlBlock.dispatch.IntNotReadyStall,101124
core_with_l2.core.backend.ctrlBlock.dispatch.ITLBMissBubble,3245079
core_with_l2.core.backend.ctrlBlock.dispatch.ITTAGEMissBubble,0
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL1Stall,41528538
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL2Stall,6836130
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL3Stall,30448080
core_with_l2.core.backend.ctrlBlock.dispatch.LoadMemStall,148771212
core_with_l2.core.backend.ctrlBlock.dispatch.LoadMSHRReplayStall,103278
core_with_l2.core.backend.ctrlBlock.dispatch.LoadTLBStall,2549538
core_with_l2.core.backend.ctrlBlock.dispatch.LoadVioReplayStall,198
core_with_l2.core.backend.ctrlBlock.dispatch.LsDqStall,14412174
core_with_l2.core.backend.ctrlBlock.dispatch.MemNotReadyStall,11862
core_with_l2.core.backend.ctrlBlock.dispatch.MemVioRecoveryStall,7338
core_with_l2.core.backend.ctrlBlock.dispatch.MemVioRedirectBubble,6007
core_with_l2.core.backend.ctrlBlock.dispatch.NoStall,62098161
core_with_l2.core.backend.ctrlBlock.dispatch.NumStallReasons,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherCoreStall,165576
core_with_l2.core.backend.ctrlBlock.dispatch.OtherRecoveryStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherRedirectBubble,1752
core_with_l2.core.backend.ctrlBlock.dispatch.OverrideBubble,1093697
core_with_l2.core.backend.ctrlBlock.dispatch.RASMissBubble,70585
core_with_l2.core.backend.ctrlBlock.dispatch.SCMissBubble,306901
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_0_1,58210880
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_1_2,398679
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_2_3,511808
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_3_4,516373
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_4_5,471221
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_5_6,1040438
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_6_7,6338728
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_mean,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_sampled,67488127
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_sum,48090856
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_0_1,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_1_2,398679
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_2_3,511808
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_3_4,516373
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_4_5,471221
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_5_6,1040438
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_6_7,6338728
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_mean,5
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_sampled,9277247
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_sum,48090856
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_0_1,58022472
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_1_2,399454
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_2_3,512341
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_3_4,518262
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_4_5,496523
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_5_6,1041622
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_6_7,6497453
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_mean,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_sampled,67488127
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_sum,49157842
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_fp_dq,0
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_int_dq,11906504
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_ls_dq,40421135
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_rob,188408
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_load_strict_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_load_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_store_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.StoreStall,4289166
core_with_l2.core.backend.ctrlBlock.dispatch.TAGEMissBubble,5925120
core_with_l2.core.backend.ctrlBlock.dispatch.utilization,361955466
core_with_l2.core.backend.ctrlBlock.dispatch.waitInstr,313864610
core_with_l2.core.backend.ctrlBlock.dispatch.waittable_load_wait,323
core_with_l2.core.backend.ctrlBlock.fpDq.empty,67488128
core_with_l2.core.backend.ctrlBlock.fpDq.exHalf,0
core_with_l2.core.backend.ctrlBlock.fpDq.fake_block,0
core_with_l2.core.backend.ctrlBlock.fpDq.full,0
core_with_l2.core.backend.ctrlBlock.fpDq.in,0
core_with_l2.core.backend.ctrlBlock.fpDq.out,0
core_with_l2.core.backend.ctrlBlock.fpDq.out_try,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_0_1,67488127
core_with_l2.core.backend.ctrlBlock.fpDq.util_1_2,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_2_3,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_3_4,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_4_5,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_5_6,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_6_7,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_7_8,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_8_9,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_9_10,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_10_11,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_11_12,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_12_13,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_13_14,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_14_15,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_15_16,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_mean,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_overflow,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_sampled,67488127
core_with_l2.core.backend.ctrlBlock.fpDq.util_sum,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_underflow,0
core_with_l2.core.backend.ctrlBlock.fpDq.utilization,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.fused_instr,0
core_with_l2.core.backend.ctrlBlock.intDq.empty,45055682
core_with_l2.core.backend.ctrlBlock.intDq.exHalf,12326732
core_with_l2.core.backend.ctrlBlock.intDq.fake_block,524499
core_with_l2.core.backend.ctrlBlock.intDq.full,12209204
core_with_l2.core.backend.ctrlBlock.intDq.in,24188293
core_with_l2.core.backend.ctrlBlock.intDq.out,23697897
core_with_l2.core.backend.ctrlBlock.intDq.out_try,69437531
core_with_l2.core.backend.ctrlBlock.intDq.util_0_1,45055681
core_with_l2.core.backend.ctrlBlock.intDq.util_1_2,2019704
core_with_l2.core.backend.ctrlBlock.intDq.util_2_3,2223109
core_with_l2.core.backend.ctrlBlock.intDq.util_3_4,2325808
core_with_l2.core.backend.ctrlBlock.intDq.util_4_5,1523509
core_with_l2.core.backend.ctrlBlock.intDq.util_5_6,826529
core_with_l2.core.backend.ctrlBlock.intDq.util_6_7,515122
core_with_l2.core.backend.ctrlBlock.intDq.util_7_8,276245
core_with_l2.core.backend.ctrlBlock.intDq.util_8_9,395688
core_with_l2.core.backend.ctrlBlock.intDq.util_9_10,1034227
core_with_l2.core.backend.ctrlBlock.intDq.util_10_11,1253405
core_with_l2.core.backend.ctrlBlock.intDq.util_11_12,3572975
core_with_l2.core.backend.ctrlBlock.intDq.util_12_13,2634199
core_with_l2.core.backend.ctrlBlock.intDq.util_13_14,2620489
core_with_l2.core.backend.ctrlBlock.intDq.util_14_15,747488
core_with_l2.core.backend.ctrlBlock.intDq.util_15_16,463949
core_with_l2.core.backend.ctrlBlock.intDq.util_mean,2
core_with_l2.core.backend.ctrlBlock.intDq.util_overflow,131337
core_with_l2.core.backend.ctrlBlock.intDq.util_sampled,67488127
core_with_l2.core.backend.ctrlBlock.intDq.util_sum,176236945
core_with_l2.core.backend.ctrlBlock.intDq.util_underflow,0
core_with_l2.core.backend.ctrlBlock.intDq.utilization,176236945
core_with_l2.core.backend.ctrlBlock.lsDq.empty,14470070
core_with_l2.core.backend.ctrlBlock.lsDq.exHalf,41851560
core_with_l2.core.backend.ctrlBlock.lsDq.fake_block,1277480
core_with_l2.core.backend.ctrlBlock.lsDq.full,41115476
core_with_l2.core.backend.ctrlBlock.lsDq.in,20858430
core_with_l2.core.backend.ctrlBlock.lsDq.out,19466873
core_with_l2.core.backend.ctrlBlock.lsDq.out_try,202987248
core_with_l2.core.backend.ctrlBlock.lsDq.util_0_1,14470069
core_with_l2.core.backend.ctrlBlock.lsDq.util_1_2,1202794
core_with_l2.core.backend.ctrlBlock.lsDq.util_2_3,2016429
core_with_l2.core.backend.ctrlBlock.lsDq.util_3_4,1443067
core_with_l2.core.backend.ctrlBlock.lsDq.util_4_5,992628
core_with_l2.core.backend.ctrlBlock.lsDq.util_5_6,1164574
core_with_l2.core.backend.ctrlBlock.lsDq.util_6_7,1466515
core_with_l2.core.backend.ctrlBlock.lsDq.util_7_8,1375176
core_with_l2.core.backend.ctrlBlock.lsDq.util_8_9,1505315
core_with_l2.core.backend.ctrlBlock.lsDq.util_9_10,1101110
core_with_l2.core.backend.ctrlBlock.lsDq.util_10_11,993099
core_with_l2.core.backend.ctrlBlock.lsDq.util_11_12,8967227
core_with_l2.core.backend.ctrlBlock.lsDq.util_12_13,8869439
core_with_l2.core.backend.ctrlBlock.lsDq.util_13_14,14223951
core_with_l2.core.backend.ctrlBlock.lsDq.util_14_15,6752088
core_with_l2.core.backend.ctrlBlock.lsDq.util_15_16,944646
core_with_l2.core.backend.ctrlBlock.lsDq.util_mean,8
core_with_l2.core.backend.ctrlBlock.lsDq.util_overflow,10250
core_with_l2.core.backend.ctrlBlock.lsDq.util_sampled,67488127
core_with_l2.core.backend.ctrlBlock.lsDq.util_sum,568360357
